"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1319","Should Display Cart Products and Total Amounts Correctly ","","Thu Oct 17 17:41:27 GMT+06:00 2024","passed","Thu Oct 17 17:41:28 GMT+06:00 2024","","Filter products for Adding to Cart and verify complete Order process ","",""
"","16104","should login successfully with valid credentials","","Thu Oct 17 17:41:13 GMT+06:00 2024","passed","Thu Oct 17 17:41:29 GMT+06:00 2024","","Filter products for Adding to Cart and verify complete Order process ","",""
"","6037","Should Able to Filter Products","","Thu Oct 17 17:41:20 GMT+06:00 2024","passed","Thu Oct 17 17:41:26 GMT+06:00 2024","","Filter products for Adding to Cart and verify complete Order process ","",""
"","1215","should show an error message with empty username and password ","","Thu Oct 17 17:41:14 GMT+06:00 2024","passed","Thu Oct 17 17:41:15 GMT+06:00 2024","","Verify the error message","",""
"","614","Should Reset App and Logout Successfully ","","Thu Oct 17 17:41:28 GMT+06:00 2024","passed","Thu Oct 17 17:41:29 GMT+06:00 2024","","Filter products for Adding to Cart and verify complete Order process ","",""
"","1336","Should Display Cart Products and Total Amounts Correctly ","","Thu Oct 17 17:41:17 GMT+06:00 2024","passed","Thu Oct 17 17:41:19 GMT+06:00 2024","","Add product to Cart and verify Checkout process ","",""
"","601","Should Reset App and Logout Successfully ","","Thu Oct 17 17:41:19 GMT+06:00 2024","passed","Thu Oct 17 17:41:19 GMT+06:00 2024","","Add product to Cart and verify Checkout process ","",""
"","1164","should show an error message  locked_out_user and Invalid password credentials","","Thu Oct 17 17:41:16 GMT+06:00 2024","passed","Thu Oct 17 17:41:18 GMT+06:00 2024","","Verify the error message","",""
"","1211","Should able to add product on cart successfully","","Thu Oct 17 17:41:16 GMT+06:00 2024","passed","Thu Oct 17 17:41:17 GMT+06:00 2024","","Add product to Cart and verify Checkout process ","",""
"","1153","should show an error message  locked_out_user and valid password credentials","","Thu Oct 17 17:41:18 GMT+06:00 2024","passed","Thu Oct 17 17:41:19 GMT+06:00 2024","","Verify the error message","",""
"","1152","should show an error message with empty password ","","Thu Oct 17 17:41:15 GMT+06:00 2024","passed","Thu Oct 17 17:41:16 GMT+06:00 2024","","Verify the error message","",""
"","629","Should Reset App after Login","","Thu Oct 17 17:41:15 GMT+06:00 2024","passed","Thu Oct 17 17:41:16 GMT+06:00 2024","","Add product to Cart and verify Checkout process ","",""
"","1112","Should able to add product on cart successfully","","Thu Oct 17 17:41:26 GMT+06:00 2024","passed","Thu Oct 17 17:41:27 GMT+06:00 2024","","Filter products for Adding to Cart and verify complete Order process ","",""
"","5073","should show an error message  locked_out_user and valid password credentials","","Thu Oct 17 17:41:14 GMT+06:00 2024","passed","Thu Oct 17 17:41:19 GMT+06:00 2024","","Add product to Cart and verify Checkout process ","",""
"","620","Should Reset App after Login","","Thu Oct 17 17:41:19 GMT+06:00 2024","passed","Thu Oct 17 17:41:20 GMT+06:00 2024","","Filter products for Adding to Cart and verify complete Order process ","",""
